n_calib,K,rep,task_seed,method,interval_left,interval_right,interval_length,satisfies_picpi
1000,100,9,3058314195,Empirical mode,0.04,0.08,0.04,True
1000,100,9,3058314195,Empirical mode,0.08,0.18,0.09999999999999999,True
1000,100,9,3058314195,Empirical mode,0.18,0.19,0.010000000000000009,False
1000,100,9,3058314195,Empirical mode,0.19,0.2,0.010000000000000009,False
1000,100,9,3058314195,Empirical mode,0.2,0.3,0.09999999999999998,True
1000,100,9,3058314195,Empirical mode,0.3,0.43,0.13,True
1000,100,9,3058314195,Empirical mode,0.43,0.49,0.06,True
1000,100,9,3058314195,Empirical mode,0.49,0.54,0.050000000000000044,True
1000,100,9,3058314195,Empirical mode,0.54,0.59,0.04999999999999993,True
1000,100,9,3058314195,Empirical mode,0.59,0.7000000000000001,0.1100000000000001,True
1000,100,9,3058314195,Empirical mode,0.7000000000000001,0.75,0.04999999999999993,True
1000,100,9,3058314195,Empirical mode,0.75,0.87,0.12,True
1000,100,9,3058314195,Empirical mode,0.87,0.89,0.020000000000000018,True
1000,100,9,3058314195,Empirical mode,0.89,0.98,0.08999999999999997,True
1000,100,9,3058314195,Empirical mode,0.98,1.0,0.020000000000000018,True
1000,100,10,64606459,Empirical mode,0.0,0.06,0.06,True
1000,100,10,64606459,Empirical mode,0.06,0.14,0.08000000000000002,True
1000,100,10,64606459,Empirical mode,0.14,0.17,0.03,True
1000,100,10,64606459,Empirical mode,0.17,0.22,0.04999999999999999,True
1000,100,10,64606459,Empirical mode,0.22,0.24,0.01999999999999999,False
1000,100,10,64606459,Empirical mode,0.24,0.32,0.08000000000000002,True
1000,100,10,64606459,Empirical mode,0.32,0.39,0.07,True
1000,100,10,64606459,Empirical mode,0.39,0.42,0.02999999999999997,True
1000,100,10,64606459,Empirical mode,0.42,0.45,0.030000000000000027,True
1000,100,10,64606459,Empirical mode,0.45,0.49,0.03999999999999998,True
1000,100,10,64606459,Empirical mode,0.49,0.63,0.14,True
1000,100,10,64606459,Empirical mode,0.63,0.68,0.050000000000000044,True
1000,100,10,64606459,Empirical mode,0.68,0.7000000000000001,0.020000000000000018,True
1000,100,10,64606459,Empirical mode,0.7000000000000001,0.78,0.07999999999999996,True
1000,100,10,64606459,Empirical mode,0.78,0.81,0.030000000000000027,True
1000,100,10,64606459,Empirical mode,0.81,0.8200000000000001,0.010000000000000009,False
