method,target_coverage,n_completed_seeds,mean_avg_set_size,sd_avg_set_size,mean_macro_coverage,sd_macro_coverage,mean_worst_coverage,sd_worst_coverage,dgp_name,dgp_title
Simultaneous CI,0.1333333333333333,1000,0.1330245,0.010975409302589088,0.07892356862694552,0.006450329957141237,5.65104074645717e-13,1.7870159909222738e-11,population_nonlinear,Population-style nonlinear
Simultaneous CI,0.2,1000,0.2001625,0.012390878807720935,0.1188507246713357,0.007213671009256286,5.65104074645717e-13,1.7870159909222738e-11,population_nonlinear,Population-style nonlinear
Simultaneous CI,0.2666666666666666,1000,0.2670865,0.013677731833096372,0.15860058343069752,0.007900530067980756,3.204818299629153e-12,8.516539674007542e-11,population_nonlinear,Population-style nonlinear
Simultaneous CI,0.3333333333333333,1000,0.3342765,0.014680303438929964,0.19839304608385877,0.008353202186170442,1.8155936067523384e-06,4.074041842230885e-05,population_nonlinear,Population-style nonlinear
Simultaneous CI,0.4,1000,0.4023535,0.015456283008357273,0.2384465967129499,0.008650108918719156,1.863878712893097e-05,0.00030877468251015207,population_nonlinear,Population-style nonlinear
Simultaneous CI,0.4666666666666667,1000,0.47089800000000004,0.015365535971637798,0.2783408283029964,0.008380973177102773,8.059651235809296e-05,0.0006253186276839884,population_nonlinear,Population-style nonlinear
Simultaneous CI,0.5333333333333333,1000,0.5413505,0.015859837142423124,0.3185652476330739,0.008432299708809704,0.0002965674351614955,0.00117811958013084,population_nonlinear,Population-style nonlinear
Simultaneous CI,0.6,1000,0.6145865,0.016091370356497,0.3590686664373751,0.008368810068244924,0.0009736717729641128,0.002178126712320964,population_nonlinear,Population-style nonlinear
Simultaneous CI,0.6666666666666666,1000,0.6946975,0.016564589623029598,0.40140440083853063,0.008458967783242736,0.003531634253904349,0.004223129763503891,population_nonlinear,Population-style nonlinear
Simultaneous CI,0.7333333333333333,1000,0.7905549999999999,0.018633993149636513,0.4488676043270519,0.009650677684328784,0.01246498266517199,0.008542095598604412,population_nonlinear,Population-style nonlinear
Simultaneous CI,0.8,1000,0.9283705,0.025027981932821314,0.5157048102204633,0.014268220826346949,0.060794757842770594,0.02461140544377377,population_nonlinear,Population-style nonlinear
Simultaneous CI,0.8666666666666667,1000,1.1708135,0.03695458170320505,0.6375110652067931,0.019724550249819995,0.2576476008399414,0.04595269618822601,population_nonlinear,Population-style nonlinear
Simultaneous CI,0.9333333333333332,1000,1.6082305,0.05384051374820523,0.8073479120340625,0.017054879234405455,0.5989163211032308,0.03933675875582091,population_nonlinear,Population-style nonlinear
Simultaneous CI,1.0,1000,4.0,0.0,1.0,0.0,1.0,0.0,population_nonlinear,Population-style nonlinear
Split conformal prediction,0.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,population_nonlinear,Population-style nonlinear
Split conformal prediction,0.0666666666666666,1000,8e-06,0.00013211151900365637,5.701448454005e-06,8.56604480445658e-05,0.0,0.0,population_nonlinear,Population-style nonlinear
Split conformal prediction,0.1333333333333333,1000,0.0,0.0,0.0,0.0,0.0,0.0,population_nonlinear,Population-style nonlinear
Split conformal prediction,0.2,1000,0.006282,0.015060205369973736,0.003660562021609948,0.008776165016112522,0.0,0.0,population_nonlinear,Population-style nonlinear
Split conformal prediction,0.2666666666666666,1000,0.087352,0.03175424267602565,0.05155624852869663,0.019226080232218806,0.0,0.0,population_nonlinear,Population-style nonlinear
Split conformal prediction,0.3333333333333333,1000,0.26564,0.0785842279397137,0.14403936939708967,0.03211825669760145,0.051398665062870566,0.05921370055931771,population_nonlinear,Population-style nonlinear
Split conformal prediction,0.4,1000,0.44355500000000003,0.11713815271644762,0.24093783397052437,0.0345377840728723,0.1795761617686666,0.04009158490438341,population_nonlinear,Population-style nonlinear
Split conformal prediction,0.4666666666666667,1000,0.4990175,0.06047222779164069,0.3447082260003851,0.03245272522766525,0.25393222849736,0.042901278845996156,population_nonlinear,Population-style nonlinear
Split conformal prediction,0.5333333333333333,1000,0.5710040000000001,0.031800121567876614,0.4237258312316427,0.02176305145671413,0.2985504556402889,0.04357878020171772,population_nonlinear,Population-style nonlinear
Split conformal prediction,0.6,1000,0.6294305,0.02484378460266034,0.47593559737027297,0.022870539300016778,0.30812639753672355,0.052793103657343625,population_nonlinear,Population-style nonlinear
Split conformal prediction,0.6666666666666666,1000,0.6946955,0.023020957717789316,0.5198160516750817,0.025306884956540075,0.3080371542491453,0.0605857325995888,population_nonlinear,Population-style nonlinear
Split conformal prediction,0.7333333333333333,1000,0.7858485,0.025357973589673437,0.5710357058273503,0.02850303490307017,0.30824248128935405,0.06399160071218635,population_nonlinear,Population-style nonlinear
Split conformal prediction,0.8,1000,0.8962519999999999,0.028597207840911583,0.631572250642031,0.03046954477036675,0.3297815686065793,0.06501644848153233,population_nonlinear,Population-style nonlinear
Split conformal prediction,0.8666666666666667,1000,1.0270219999999999,0.0477437795370715,0.7079347547226645,0.03523921851944845,0.42121675982908374,0.07382937327469259,population_nonlinear,Population-style nonlinear
Split conformal prediction,0.9333333333333332,1000,1.366002,0.37581094430825407,0.8446062299179866,0.047893166830290906,0.6791523762025956,0.10392437461429357,population_nonlinear,Population-style nonlinear
Split conformal prediction,1.0,1000,4.0,0.0,1.0,0.0,1.0,0.0,population_nonlinear,Population-style nonlinear
