method,target_coverage,n_completed_seeds,mean_avg_set_size,sd_avg_set_size,mean_macro_coverage,sd_macro_coverage,mean_worst_coverage,sd_worst_coverage,dgp_name,dgp_title
PICPI,0.6666666666666666,1000,1.2095685,0.03785224366005404,0.7075516146566033,0.011473163558998477,0.6810265483963065,0.01830536193373492,true_linear_gaussian_d10,True linear Gaussian 10d
PICPI,0.7333333333333333,1000,1.4357205,0.04375925047063477,0.7736984391723944,0.01022020029005104,0.7508276555012674,0.015935878396872483,true_linear_gaussian_d10,True linear Gaussian 10d
PICPI,0.8,1000,1.7170375,0.05265206152975718,0.8375064816257048,0.008893844367506471,0.8187698303117653,0.013054230173429392,true_linear_gaussian_d10,True linear Gaussian 10d
PICPI,0.8666666666666667,1000,2.0818015,0.06573893408935987,0.8973383525478092,0.006827554610575312,0.8821037054134242,0.009905777527768363,true_linear_gaussian_d10,True linear Gaussian 10d
PICPI,0.9333333333333332,1000,2.62928,0.078300968331443,0.9534964551517341,0.00445336523747695,0.9435223774968698,0.007069778576954382,true_linear_gaussian_d10,True linear Gaussian 10d
PICPI,1.0,1000,3.9998850000000004,0.0003910600055335585,0.9998727532383739,0.00042899509773833104,0.9995054177579334,0.0016632516205596871,true_linear_gaussian_d10,True linear Gaussian 10d
Simultaneous CI,0.0,1000,0.00047650000000000004,0.0006585069334345549,0.00045417687293902796,0.0006307552749943713,1.8385317145037999e-06,5.813947768286437e-05,true_linear_gaussian_d10,True linear Gaussian 10d
Simultaneous CI,0.0666666666666666,1000,0.07094249999999999,0.008722013372339393,0.06346218652106006,0.007635880351682373,0.01912455598154692,0.009258845428657476,true_linear_gaussian_d10,True linear Gaussian 10d
Simultaneous CI,0.1333333333333333,1000,0.1486345,0.012053461979684318,0.12781228570479788,0.009876182989868346,0.052596470217927564,0.01604460877632736,true_linear_gaussian_d10,True linear Gaussian 10d
Simultaneous CI,0.2,1000,0.23326550000000001,0.014859342509337676,0.19297529758313922,0.01152271861861113,0.09497250424017589,0.021854826315723656,true_linear_gaussian_d10,True linear Gaussian 10d
Simultaneous CI,0.2666666666666666,1000,0.32517599999999997,0.01741261678275907,0.2585321328875159,0.012780306085569739,0.14378554648004016,0.026450340167277316,true_linear_gaussian_d10,True linear Gaussian 10d
Simultaneous CI,0.3333333333333333,1000,0.4248225,0.019782912003983584,0.32412925716865254,0.013557676009873093,0.19772043334751246,0.029131900237840503,true_linear_gaussian_d10,True linear Gaussian 10d
Simultaneous CI,0.4,1000,0.5347035,0.02149490331726615,0.39050085722783084,0.013489988137414071,0.2577000286606927,0.030328698267752845,true_linear_gaussian_d10,True linear Gaussian 10d
Simultaneous CI,0.4666666666666667,1000,0.655026,0.02386591514913909,0.4565387851537534,0.013694548352558972,0.3214131893266186,0.030806789234784207,true_linear_gaussian_d10,True linear Gaussian 10d
Simultaneous CI,0.5333333333333333,1000,0.7910845000000001,0.02669492890005479,0.5237866541959203,0.013704958496636832,0.3906916699820648,0.030296719392729474,true_linear_gaussian_d10,True linear Gaussian 10d
Simultaneous CI,0.6,1000,0.9433885000000001,0.029167757469950022,0.5905534910764049,0.01313023480532856,0.46296179808134214,0.029401312466563623,true_linear_gaussian_d10,True linear Gaussian 10d
Simultaneous CI,0.6666666666666666,1000,1.1179415,0.033174574302168976,0.6573778257303894,0.012953932029239083,0.5399554446858019,0.028321508405854096,true_linear_gaussian_d10,True linear Gaussian 10d
Simultaneous CI,0.7333333333333333,1000,1.3257725,0.03707291997058158,0.7250455823427872,0.01209861805564482,0.6214395209620248,0.026058111903825242,true_linear_gaussian_d10,True linear Gaussian 10d
Simultaneous CI,0.8,1000,1.578941,0.04139238877920496,0.7928049311790737,0.010534714502002548,0.7077373946098915,0.022426322813859784,true_linear_gaussian_d10,True linear Gaussian 10d
Simultaneous CI,0.8666666666666667,1000,1.912645,0.04688819657416971,0.8615820579100447,0.008642468492851328,0.7998742927234322,0.018553085583881093,true_linear_gaussian_d10,True linear Gaussian 10d
Simultaneous CI,0.9333333333333332,1000,2.4050285,0.05814532927989207,0.9304297996798089,0.006356585756702308,0.8972467649407855,0.01331714336468827,true_linear_gaussian_d10,True linear Gaussian 10d
Simultaneous CI,1.0,1000,4.0,0.0,1.0,0.0,1.0,0.0,true_linear_gaussian_d10,True linear Gaussian 10d
Split conformal prediction,0.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,true_linear_gaussian_d10,True linear Gaussian 10d
Split conformal prediction,0.0666666666666666,1000,0.056704,0.010435649801846879,0.05008585316126002,0.009102407933655321,0.029348207369912654,0.016805516810738566,true_linear_gaussian_d10,True linear Gaussian 10d
Split conformal prediction,0.1333333333333333,1000,0.1087,0.015608687681260435,0.09644967499880551,0.012852107004753786,0.06935253270668625,0.01722593434588728,true_linear_gaussian_d10,True linear Gaussian 10d
Split conformal prediction,0.2,1000,0.1462355,0.02285967748251503,0.12943055168946588,0.018280720662287447,0.09266485116996467,0.021325486724986388,true_linear_gaussian_d10,True linear Gaussian 10d
Split conformal prediction,0.2666666666666666,1000,0.17477600000000001,0.02708759978407207,0.15435968464061298,0.021316593356608307,0.11240551912249976,0.02448431267317531,true_linear_gaussian_d10,True linear Gaussian 10d
Split conformal prediction,0.3333333333333333,1000,0.202767,0.029769505108994253,0.17772415789737422,0.02326834761631744,0.1309592795281132,0.025407205756069383,true_linear_gaussian_d10,True linear Gaussian 10d
Split conformal prediction,0.4,1000,0.23796299999999998,0.03099179120544864,0.20560743629412226,0.02438501376534014,0.15343572580242112,0.028436028211771595,true_linear_gaussian_d10,True linear Gaussian 10d
Split conformal prediction,0.4666666666666667,1000,0.28332999999999997,0.03254934038593656,0.23993948657315523,0.024938817176688242,0.17980299760574642,0.031261056809669924,true_linear_gaussian_d10,True linear Gaussian 10d
