n_calib,width_mean,width_median,width_q90,width_q95,coverage,n_raw_intervals,n_intervals,rate_term,rep
3000,0.518547,0.53,0.5499999999999999,0.55,1.0,1212,1212,0.13870903698649753,36
3000,0.5148680000000001,0.53,0.53,0.53,1.0,1197,1197,0.13870903698649753,37
3000,0.516308,0.52,0.55,0.55,1.0,1211,1211,0.13870903698649753,38
3000,0.50264,0.51,0.54,0.54,1.0,1263,1263,0.13870903698649753,39
3000,0.49545,0.49,0.53,0.53,1.0,1316,1316,0.13870903698649753,40
3000,0.500887,0.49999999999999994,0.52,0.52,1.0,1277,1277,0.13870903698649753,41
3000,0.510265,0.52,0.52,0.52,1.0,1209,1209,0.13870903698649753,42
3000,0.491591,0.49,0.52,0.52,1.0,1249,1249,0.13870903698649753,43
3000,0.4884830000000001,0.49,0.5,0.5,1.0,1296,1296,0.13870903698649753,44
3000,0.49625499999999995,0.49,0.51,0.51,1.0,1292,1292,0.13870903698649753,45
3000,0.5074770000000001,0.5,0.5499999999999999,0.55,1.0,1251,1251,0.13870903698649753,46
3000,0.49801000000000006,0.51,0.51,0.51,1.0,1206,1206,0.13870903698649753,47
3000,0.519918,0.52,0.5599999999999999,0.56,1.0,1194,1194,0.13870903698649753,48
3000,0.48895,0.49,0.5,0.5,1.0,1282,1282,0.13870903698649753,49
3000,0.517407,0.52,0.56,0.56,1.0,1194,1194,0.13870903698649753,50
3000,0.504676,0.51,0.53,0.53,1.0,1259,1259,0.13870903698649753,51
3000,0.5074510000000001,0.51,0.54,0.55,1.0,1245,1245,0.13870903698649753,52
3000,0.5043980000000001,0.5,0.5499999999999999,0.55,1.0,1263,1263,0.13870903698649753,53
3000,0.501993,0.5,0.53,0.53,1.0,1271,1271,0.13870903698649753,54
3000,0.51244,0.51,0.54,0.54,1.0,1207,1207,0.13870903698649753,55
3000,0.5149090000000001,0.53,0.54,0.54,1.0,1194,1194,0.13870903698649753,56
3000,0.5080620000000001,0.51,0.54,0.54,1.0,1253,1253,0.13870903698649753,57
3000,0.5067670000000001,0.49,0.5499999999999999,0.5700000000000001,1.0,1213,1213,0.13870903698649753,58
3000,0.506035,0.51,0.53,0.53,1.0,1247,1247,0.13870903698649753,59
3000,0.5235690000000001,0.5299999999999999,0.55,0.55,1.0,1156,1156,0.13870903698649753,60
3000,0.49839100000000003,0.49,0.53,0.53,1.0,1276,1276,0.13870903698649753,61
3000,0.5069120000000001,0.52,0.53,0.53,1.0,1231,1231,0.13870903698649753,62
3000,0.5123019999999999,0.5,0.55,0.55,1.0,1209,1209,0.13870903698649753,63
3000,0.48769400000000007,0.48,0.53,0.53,1.0,1256,1256,0.13870903698649753,64
3000,0.494161,0.48000000000000004,0.53,0.53,1.0,1321,1321,0.13870903698649753,65
3000,0.5137410000000001,0.51,0.54,0.54,1.0,1209,1209,0.13870903698649753,66
3000,0.51123,0.51,0.55,0.55,1.0,1215,1215,0.13870903698649753,67
3000,0.51904,0.51,0.58,0.58,1.0,1170,1170,0.13870903698649753,68
3000,0.531733,0.5399999999999999,0.5700000000000001,0.5700000000000001,1.0,1130,1130,0.13870903698649753,69
3000,0.519452,0.52,0.55,0.55,1.0,1178,1178,0.13870903698649753,70
3000,0.47391000000000005,0.47000000000000003,0.48999999999999994,0.49,1.0,1409,1409,0.13870903698649753,71
3000,0.49012800000000006,0.47000000000000003,0.53,0.53,1.0,1268,1268,0.13870903698649753,72
3000,0.507223,0.5,0.54,0.54,1.0,1235,1235,0.13870903698649753,73
3000,0.514849,0.51,0.5700000000000001,0.5700000000000001,1.0,1215,1215,0.13870903698649753,74
3000,0.506695,0.51,0.5499999999999999,0.55,1.0,1244,1244,0.13870903698649753,75
3000,0.519324,0.53,0.53,0.53,1.0,1154,1154,0.13870903698649753,76
3000,0.499469,0.51,0.52,0.52,1.0,1243,1243,0.13870903698649753,77
3000,0.5185000000000001,0.52,0.55,0.55,1.0,1196,1196,0.13870903698649753,78
3000,0.5034379999999999,0.49000000000000005,0.53,0.53,1.0,1281,1281,0.13870903698649753,79
3000,0.515303,0.52,0.54,0.54,1.0,1192,1192,0.13870903698649753,80
3000,0.487887,0.48,0.53,0.53,1.0,1353,1353,0.13870903698649753,81
3000,0.5093860000000001,0.51,0.53,0.53,1.0,1219,1219,0.13870903698649753,82
3000,0.506848,0.5,0.54,0.54,1.0,1259,1259,0.13870903698649753,83
3000,0.507483,0.51,0.54,0.54,1.0,1241,1241,0.13870903698649753,84
3000,0.5020110000000001,0.49,0.5499999999999999,0.55,1.0,1245,1245,0.13870903698649753,85
3000,0.504355,0.5,0.5499999999999999,0.55,1.0,1265,1265,0.13870903698649753,86
3000,0.515474,0.52,0.54,0.54,1.0,1205,1205,0.13870903698649753,87
3000,0.5039120000000001,0.49,0.54,0.54,1.0,1255,1255,0.13870903698649753,88
3000,0.5123250000000001,0.52,0.53,0.53,1.0,1228,1228,0.13870903698649753,89
3000,0.48972200000000005,0.5,0.5,0.51,1.0,1316,1316,0.13870903698649753,90
3000,0.500808,0.5,0.52,0.52,1.0,1290,1290,0.13870903698649753,91
3000,0.520424,0.51,0.57,0.5800000000000001,1.0,1177,1177,0.13870903698649753,92
3000,0.5045430000000002,0.5,0.54,0.54,1.0,1250,1250,0.13870903698649753,93
3000,0.509854,0.51,0.54,0.54,1.0,1247,1247,0.13870903698649753,94
3000,0.4849370000000001,0.47000000000000003,0.51,0.51,1.0,1316,1316,0.13870903698649753,95
3000,0.5075450000000001,0.51,0.52,0.52,1.0,1259,1259,0.13870903698649753,96
3000,0.5161530000000001,0.53,0.54,0.54,1.0,1196,1196,0.13870903698649753,97
3000,0.490107,0.48000000000000004,0.51,0.51,1.0,1336,1336,0.13870903698649753,98
3000,0.521224,0.53,0.55,0.55,1.0,1175,1175,0.13870903698649753,99
10000,0.307188,0.32,0.33999999999999997,0.33999999999999997,1.0,2260,2260,0.09729530713186156,0
10000,0.320848,0.32,0.32000000000000006,0.32999999999999996,1.0,2258,2258,0.09729530713186156,1
10000,0.29775199999999996,0.3,0.33,0.33,1.0,2297,2297,0.09729530713186156,2
10000,0.29965899999999995,0.29999999999999993,0.32999999999999996,0.32999999999999996,1.0,2329,2329,0.09729530713186156,3
10000,0.300065,0.3,0.32,0.32,1.0,2299,2299,0.09729530713186156,4
10000,0.309908,0.31,0.32999999999999996,0.32999999999999996,1.0,2259,2259,0.09729530713186156,5
10000,0.32200900000000005,0.32999999999999996,0.32999999999999996,0.32999999999999996,1.0,2250,2250,0.09729530713186156,6
10000,0.30754400000000004,0.31,0.32,0.33000000000000007,1.0,2278,2278,0.09729530713186156,7
10000,0.313688,0.31,0.31999999999999995,0.33999999999999997,1.0,2269,2269,0.09729530713186156,8
10000,0.31367799999999996,0.31999999999999995,0.32999999999999996,0.32999999999999996,1.0,2228,2228,0.09729530713186156,9
10000,0.30357599999999996,0.3,0.31999999999999995,0.31999999999999995,1.0,2344,2344,0.09729530713186156,10
10000,0.312829,0.31,0.32,0.32999999999999996,1.0,2298,2298,0.09729530713186156,11
10000,0.308649,0.33,0.33,0.33000000000000007,1.0,2298,2298,0.09729530713186156,12
10000,0.30773300000000003,0.30999999999999994,0.32,0.32000000000000006,1.0,2357,2357,0.09729530713186156,13
10000,0.313803,0.31999999999999995,0.32999999999999996,0.32999999999999996,1.0,2224,2224,0.09729530713186156,14
10000,0.30000599999999994,0.29999999999999993,0.31999999999999995,0.33000000000000007,1.0,2321,2321,0.09729530713186156,15
10000,0.318615,0.32,0.33,0.33,1.0,2166,2166,0.09729530713186156,16
10000,0.309699,0.31,0.33,0.33,1.0,2259,2259,0.09729530713186156,17
10000,0.308569,0.30999999999999994,0.31999999999999995,0.32999999999999996,1.0,2309,2309,0.09729530713186156,18
10000,0.32776799999999995,0.33,0.33999999999999997,0.33999999999999997,1.0,2226,2226,0.09729530713186156,19
10000,0.30095299999999997,0.31,0.31999999999999995,0.32000000000000006,1.0,2271,2271,0.09729530713186156,20
10000,0.29556099999999996,0.3,0.31,0.31999999999999995,1.0,2366,2366,0.09729530713186156,21
10000,0.300153,0.31,0.32,0.33,1.0,2336,2336,0.09729530713186156,22
10000,0.312663,0.31999999999999995,0.32999999999999996,0.33999999999999997,1.0,2301,2301,0.09729530713186156,23
10000,0.322258,0.32,0.32999999999999996,0.32999999999999996,1.0,2174,2174,0.09729530713186156,24
10000,0.312002,0.31,0.31999999999999995,0.31999999999999995,1.0,2335,2335,0.09729530713186156,25
10000,0.298817,0.3,0.31,0.31999999999999995,1.0,2362,2362,0.09729530713186156,26
10000,0.31795199999999996,0.32,0.32999999999999996,0.32999999999999996,1.0,2284,2284,0.09729530713186156,27
10000,0.326049,0.32999999999999996,0.32999999999999996,0.32999999999999996,1.0,2224,2224,0.09729530713186156,28
10000,0.32210399999999995,0.32,0.33000000000000007,0.33000000000000007,1.0,2228,2228,0.09729530713186156,29
