Method,Average length,ECE,ECE mean p-hat,"Coverage [0,1]",Coverage p*,seed
Calibration-based interval,0.02,0.0139993239447669,0.009206763045824,0.46,0.2854,21
Fixed-width binning,0.02,0.0098944100893809,0.0098392186926538,1.0,0.306,21
Simultaneous confidence interval,0.411420927711815,0.0614107270675755,0.0311858431881459,,1.0,22
PICPI,0.1150542857142857,0.0098547798188466,0.0095499703167691,1.0,0.8128,22
Split conformal prediction,0.8640024476910197,0.2616493602935539,0.0237467557134389,,1.0,22
Calibration-based interval,0.02,0.0100249237068538,0.0098542112337824,0.8,0.2926,22
Fixed-width binning,0.02,0.0104675370181628,0.0104704338064766,1.0,0.2941,22
Simultaneous confidence interval,0.4126870523760397,0.0684124657008003,0.0340957318220283,,1.0,23
PICPI,0.1196103673469388,0.0225614636644351,0.0218030385492654,1.0,0.7871,23
Split conformal prediction,0.8705926853917794,0.2700582195876062,0.0251199011462261,,1.0,23
Calibration-based interval,0.02,0.0222226381930907,0.0223014839676686,0.78,0.2707,23
Fixed-width binning,0.02,0.0248054669213245,0.024832833499483,1.0,0.2741,23
Simultaneous confidence interval,0.4216452914752414,0.077508803877213,0.0337483251469853,,1.0,24
PICPI,0.1031749387755102,0.0137853747738299,0.0122214508811428,1.0,0.7413,24
Split conformal prediction,0.8923569848248335,0.2913246370156779,0.0256158009956461,,1.0,24
Calibration-based interval,0.02,0.0120441505466287,0.0119924148491077,0.64,0.2317,24
Fixed-width binning,0.02,0.0122605252263508,0.0122278622642264,1.0,0.231,24
Simultaneous confidence interval,0.4163239219486394,0.0746867784058594,0.0314984606422464,,1.0,25
PICPI,0.1122631428571428,0.0098746837884586,0.0087898940811441,1.0,0.7955,25
Split conformal prediction,0.8755676039393092,0.2754949095947805,0.0240261354263237,,1.0,25
Calibration-based interval,0.02,0.0106716849364818,0.0096946651611798,0.58,0.2536,25
Fixed-width binning,0.02,0.0103044162986972,0.0103908967417055,1.0,0.2576,25
Simultaneous confidence interval,0.4053157441516918,0.0615480725247359,0.0295751557113326,,1.0,26
PICPI,0.0913903265306122,0.0107616579160011,0.0106808588116386,1.0,0.7645,26
Split conformal prediction,0.8728923658906508,0.2735181464176073,0.0218809063151811,,1.0,26
Calibration-based interval,0.0199999999999999,0.0162019293591015,0.0093164067132519,0.38,0.2622,26
Fixed-width binning,0.02,0.0102953578963731,0.0104492289104071,1.0,0.3047,26
Simultaneous confidence interval,0.4129293935820901,0.0680424731900811,0.0256949030232219,,1.0,27
PICPI,0.0990796326530612,0.0145513585495432,0.0136989110176738,1.0,0.8133,27
Split conformal prediction,0.880654928765918,0.2804188078173843,0.0186342787630678,,1.0,27
